,atom1,atom2,atom3,atom4,phase,per,phi_x,phi_y
110,C2,C3,C4,H4,0.0,3,0.155555556,0.16
111,O1,C1,C2,H2,0.0,1,0.25,0.25
112,O1,C1,C2,H2,0.0,3,0.0,0.0
113,O1,C4,C3,H3,0.0,1,0.25,0.25
114,O1,C4,C3,H3,0.0,3,0.0,0.0
115,O1,C4,C5,H5,0.0,1,0.25,0.25
116,O1,C4,C5,H5,0.0,3,0.0,0.0
117,H1,C1,O1,C4,0.0,3,0.383333333,0.383333333
118,H1,C1,C2,H2,0.0,3,0.155555556,0.15
119,H1,C1,C2,O2,0.0,3,0.155555556,0.0
120,H1,C1,C2,C3,0.0,3,0.155555556,0.16
121,H1,C1,O5,C5,0.0,3,0.383333333,0.383333333
122,C1,O1,C4,H4,0.0,3,0.383333333,0.383333333
123,C1,C2,O2,HO2,0.0,1,0.25,0.25
124,C1,C2,O2,HO2,0.0,3,0.16,0.16
125,C1,C2,C3,H3,0.0,3,0.155555556,0.16
126,C1,O5,C5,H5,0.0,3,0.383333333,0.383333333
127,H8,C3,C4,H9,0.0,3,0.15,0.156
128,H8,C3,C4,H10,0.0,3,0.15,0.156
129,H8,C3,C4,H11,0.0,3,0.15,0.156
130,H7,C3,C4,H9,0.0,3,0.15,0.156
131,H7,C3,C4,H10,0.0,3,0.15,0.156
132,H7,C3,C4,H11,0.0,3,0.15,0.156
133,H6,C2,C3,H7,0.0,3,0.15,0.15
134,H6,C2,C3,H8,0.0,3,0.15,0.15
135,H6,C2,C3,C4,0.0,3,0.16,0.156
136,H5,C2,C3,H7,0.0,3,0.15,0.15
137,H5,C2,C3,H8,0.0,3,0.15,0.15
138,H5,C2,C3,C4,0.0,3,0.16,0.156
139,C2,C3,C4,H9,0.0,3,0.16,0.156
140,C2,C3,C4,H10,0.0,3,0.16,0.156
141,C2,C3,C4,H11,0.0,3,0.16,0.156
142,H4,C1,C2,H5,0.0,3,0.155555556,0.15
143,H4,C1,C2,H6,0.0,3,0.155555556,0.15
144,H4,C1,C2,C3,0.0,3,0.155555556,0.16
145,H3,C1,C2,H5,0.0,3,0.155555556,0.15
146,H3,C1,C2,H6,0.0,3,0.155555556,0.15
147,H3,C1,C2,C3,0.0,3,0.155555556,0.16
148,C1,C2,C3,H7,0.0,3,0.16,0.16
149,C1,C2,C3,H8,0.0,3,0.16,0.16
150,HN11,N1,C1,H3,0.0,3,0.155555556,0.15
151,HN11,N1,C1,H4,0.0,3,0.155555556,0.15
152,HN11,N1,C1,C2,0.0,3,0.155555556,0.16
153,H2,N1,C1,H3,0.0,3,0.155555556,0.15
154,H2,N1,C1,H4,0.0,3,0.155555556,0.15
155,H2,N1,C1,C2,0.0,3,0.155555556,0.16
156,H1,N1,C1,H3,0.0,3,0.155555556,0.15
157,H1,N1,C1,H4,0.0,3,0.155555556,0.15
158,H1,N1,C1,C2,0.0,3,0.155555556,0.16
159,N1,C1,C2,H5,0.0,3,0.155555556,0.16
160,N1,C1,C2,H6,0.0,3,0.155555556,0.16
