,atom1,atom2,atom3,atom4,phase,per,phi
543,HN11,N1,C1,C2,0.0,3,0.16
544,H1,N1,C1,C2,0.0,3,0.16
545,H2,N1,C1,H3,0.0,3,0.15
546,HN11,N1,C1,H3,0.0,3,0.15
547,H1,N1,C1,H3,0.0,3,0.15
548,H2,N1,C1,H4,0.0,3,0.15
549,HN11,N1,C1,H4,0.0,3,0.15
550,H1,N1,C1,H4,0.0,3,0.15
551,C2,C3,C4,H9,0.0,3,0.156
552,H7,C3,C4,H9,0.0,3,0.156
553,H8,C3,C4,H9,0.0,3,0.156
554,C2,C3,C4,H10,0.0,3,0.156
555,H7,C3,C4,H10,0.0,3,0.156
556,H8,C3,C4,H10,0.0,3,0.156
557,C2,C3,C4,H11,0.0,3,0.156
558,H7,C3,C4,H11,0.0,3,0.156
559,H8,C3,C4,H11,0.0,3,0.156
560,HO2,O2,C2,C3,0.0,3,0.16
561,HO2,O2,C2,C3,0.0,1,0.25
562,C1,C2,O2,HO2,0.0,3,0.16
563,C1,C2,O2,HO2,0.0,1,0.25
564,H2,C2,O2,HO2,0.0,3,0.166666667
565,HO3,O3,C3,C4,0.0,3,0.16
566,HO3,O3,C3,C4,0.0,1,0.25
567,C2,C3,O3,HO3,0.0,3,0.16
568,C2,C3,O3,HO3,0.0,1,0.25
569,H3,C3,O3,HO3,0.0,3,0.166666667
570,C5,C6,O6,HO6,0.0,3,0.16
571,C5,C6,O6,HO6,0.0,1,0.25
572,H61,C6,O6,HO6,0.0,3,0.166666667
573,H62,C6,O6,HO6,0.0,3,0.166666667
644,C1,O1,C4,H4,0.0,3,0.383333333
645,H1,C1,O1,C4,0.0,3,0.383333333
646,C1,O5,C5,H5,0.0,3,0.383333333
647,H1,C1,O5,C5,0.0,3,0.383333333
664,H4,C4,O1,C1,0.0,3,0.383333333
665,C4,O1,C1,H1,0.0,3,0.383333333
