,mean,sem,ci
MSE,-0.38699897505395253,0.12936687632691093,[-0.64673894 -0.13803865]
MUE,0.5382538576802761,0.09665208514224208,[0.36212578 0.74056601]
R,0.7738070090149176,0.11423147037788374,[0.48639364 0.92593366]
R**2,0.6118261160253058,0.160573974994793,[0.23657878 0.85735314]
RMSE,0.6733583577222002,0.11737775162079478,[0.46076384 0.92147704]
Tau,0.5558893567251462,0.12772668052074956,[0.2748538  0.76608187]
intercept,-1.3058522484813913,0.36367590114652565,[-2.08149004 -0.64078218]
slope,0.6604172625458318,0.12619340976524002,[0.39221909 0.89554351]
