,mean,sem,ci
MSE,-1.5602726703056937,0.09544908241268636,[-1.74313974 -1.36833864]
MUE,1.5791419477085118,0.08800344808856261,[ 1.40754465  1.75146463]
R,0.9032882291417648,0.04652457790383996,[ 0.77828848  0.95874767]
R**2,0.8180941612551952,0.08049359021692552,[ 0.60573296  0.91919709]
RMSE,1.6787990186764643,0.08523938519427193,[ 1.51238715  1.84553228]
Tau,0.729074446789404,0.05143426528441008,[ 0.61590238  0.8166712 ]
intercept,-1.002610646067128,0.276278751937232,[-1.6249444  -0.51823823]
slope,1.186147583930635,0.09420150486596637,[ 0.95851331  1.33796915]
