,mean,sem,ci
MSE,-2.576382703143829,0.24607408995268176,[-3.04439451 -2.08039059]
MUE,2.576426152992387,0.24603656520470987,[ 2.08052395  3.04450396]
R,0.8475778365449727,0.07503968177480022,[ 0.68161113  0.95024404]
R**2,0.72401914284312,0.11441981986950789,[ 0.46459373  0.90296374]
RMSE,2.6933410628346435,0.229188159890099,[ 2.23153575  3.13091204]
Tau,0.5219676363636365,0.14762698630273008,[ 0.2         0.78181818]
intercept,-1.825703370732712,0.7445579351057199,[-3.04667493 -0.16343693]
slope,1.305997665095813,0.26971104255562556,[ 0.87011458  1.9103579 ]
