,mean,sem,ci
MSE,-0.8263741527095059,0.25295289588949926,[-1.30703531 -0.32098265]
MUE,1.4453337151231687,0.16454090297494703,[1.13245264 1.77690082]
R,0.7285211048441432,0.08419062626650348,[0.53778345 0.86421922]
R**2,0.5378310617544774,0.11818174762902058,[0.28921104 0.74687487]
RMSE,1.7574315113720915,0.18070091474441607,[1.4084056  2.11785501]
Tau,0.5429140540540541,0.08226905016322568,[0.3655761  0.68705548]
intercept,-0.577644706342475,0.254567428296079,[-1.07774567 -0.07754735]
slope,0.6400565203153548,0.09883920212170637,[0.44158252 0.8303953 ]
