,mean,sem,ci_low,ci_high
MSE,-2.4835492916294797,0.11852201715309793,-2.7134469124833682,-2.249445491755212
MUE,2.4835492916294797,0.11852201715309793,2.2494606195994353,2.7134599625752758
R,0.955211466395236,0.025523401507618143,0.8928404169354893,0.9867492696984462
R**2,0.9130803895574562,0.04719119578750094,0.7971640101135384,0.973674121250417
RMSE,2.517129881795757,0.1164212091191893,2.2863953157573356,2.7422474333080515
Tau,0.7838292307692308,0.08998440936041165,0.5897435897435896,0.9230769230769229
intercept,-2.122663021027762,0.2842493659781027,-2.701702573044824,-1.5783769504655027
slope,1.1555434776894793,0.10719670649980274,0.9539707576789574,1.3813027359341885
