,mean,sem,ci_low,ci_high
MSE,0.7730220203287302,0.36536189021294735,0.07418562984265495,1.507825096686728
MUE,1.1102277199715838,0.2752368747035095,0.6343960351347769,1.7101429488274567
R,0.9056254478205371,0.07327199976534962,0.7224063473653801,0.9825953963076838
R**2,0.8255262376897613,0.11818604199821124,0.5218709307137902,0.9654937128450541
RMSE,1.392165178883957,0.3636231600531738,0.7870137303145707,2.1922554380023276
Tau,0.6900396363636362,0.1371614398353962,0.38181818181818183,0.8909090909090909
intercept,0.29880748255436423,0.4997259668808198,-0.84347401607705,1.0725266093308479
slope,0.855876640901484,0.12869580886823145,0.5922140249144895,1.0995026252498963
