,mean,sem,ci_low,ci_high
MSE,-0.6291056243804269,0.19146412768560508,-1.0147076145297225,-0.26626242705504827
MUE,0.889911625986557,0.14695949483426932,0.6241244141836024,1.1988731766973957
R,0.7121335432188656,0.11191876568697584,0.45556880804200584,0.8843263871306408
R**2,0.519659993490352,0.15068953533788026,0.20754293886081396,0.782033158975532
RMSE,1.1459070136513738,0.19996452442690932,0.7819541907288711,1.5567152540751485
Tau,0.5111207384615385,0.10735743933058554,0.28,0.6984615384615385
intercept,-1.053916263461987,0.42586260671361187,-1.9365667509367186,-0.2788024324014482
slope,0.7701643323792865,0.17427424999085236,0.41677307877612074,1.0963031018293656
