,system,ff,guest_type,total,bond,ang,dih,v14,e14,ele,vdw,total_sem,bond_sem,ang_sem,dih_sem,v14_sem,e14_sem,ele_sem,vdw_sem
122,b-m4c-p,smirnoff,cyclic_alcohols,1.5999934304927592,-1.268138019323544,-6.349241395672834,14.147077802890976,0.7219439463126562,5.913883789186002,-7.48503862049256,-4.08049407239605,0.6710140456849918,0.15137544968338174,0.6839140652920083,1.6393728684716267,0.16288862048323186,0.7079487597467823,1.0437175367192058,0.18469783489716493
123,b-m4c-p,bgbg_tip3p,cyclic_alcohols,1.474482494926633,-1.2228866791644748,-5.433791641246927,12.122419533018615,0.45513640863755,4.316399784291889,-4.857325349719758,-3.905469560917936,0.8688217411500521,0.1274983229760454,0.6483397248008608,1.517490381408232,0.3726854916501687,1.2324523333720243,1.379922087188678,0.21913151126638333
124,b-m4t-p,smirnoff,cyclic_alcohols,0.5148657033169002,-1.2375589070231214,-6.456155575419388,13.20158483209832,0.5740437689888509,5.1882996923399105,-6.9128326205245685,-3.842515487142464,0.5525598390920005,0.1247425821244862,0.6329647133024215,1.4069367993256336,0.14633607192851936,0.6502535832310943,1.116511598939478,0.15806176236103764
125,b-m4t-p,bgbg_tip3p,cyclic_alcohols,2.764761498947337,-1.23619242220569,-5.605653174419444,12.728905696659297,0.8041534123899439,4.389158929578116,-5.355553923134721,-2.9600570199436333,0.7598964351754668,0.2610202375649194,1.221762342552792,2.7101274066443386,0.21988898011343797,1.1533924655314638,1.5740344153234638,0.43118084400300627
126,b-m4t-s,smirnoff,cyclic_alcohols,1.8573316825568327,-1.3641789851913018,-6.5399990307324884,14.607451551553481,0.7798347091170754,5.968745361631136,-7.939150188754866,-3.6553717350902843,0.5494577126372947,0.10252953588385298,0.4429850456754053,1.1377875242258753,0.19629284206523998,0.7237172544051894,1.030328841816489,0.17218314031810172
127,b-m4t-s,bgbg_tip3p,cyclic_alcohols,2.26462617521247,-1.1737092167305434,-5.242066596577331,12.103684719879283,0.8908762198126539,4.729909785550831,-5.697189224953036,-3.3468795117851187,0.5950237328278843,0.2401866663552045,1.1128755210789323,2.5138063424998682,0.15369152190281052,0.9204212122916283,1.4857781686795817,0.2859951308666421
128,b-mch-s,smirnoff,cyclic_alcohols,2.0774814211363264,-1.276561700717778,-6.346851253489717,15.374005961804812,0.20720595885889992,3.871100572327123,-5.783357287386025,-3.968060830271952,0.9736596544849554,0.07666314752758915,0.43331513939197575,1.2078768343668191,0.289604482207885,0.9445670326783531,0.9602012912153033,0.22648273313377212
129,b-mch-s,bgbg_tip3p,cyclic_alcohols,2.32881351191827,-1.3505890422010083,-6.063488564904972,13.760120601743381,0.9107921882512642,6.433030881240597,-7.024834781095706,-4.336217771104657,0.7865834833856308,0.060670994488368615,0.3572149273439146,0.9203071421939126,0.05313567269541864,0.596543858365381,0.7774094578877376,0.1755429919763211
130,b-mha-s,smirnoff,aliphatic_ammoniums,0.35285376450701733,-1.063268502129894,-4.61383988174326,10.01610649855283,0.1013938795221776,1.5795267033915934,-2.7487301609617134,-2.9183347720986603,0.6681273859524517,0.06189782862410299,0.3036107653087423,0.7189594097502628,0.2223929252445745,0.732851983651233,0.8892605013668281,0.1500378216214144
131,b-mha-s,bgbg_tip3p,aliphatic_ammoniums,3.274991271773615,-1.0626154232198175,-4.390846032942832,10.856775467769609,0.9600861622431012,2.417715856991663,-2.665300481246959,-2.840824277831416,0.485258608511193,0.09096982416116847,0.4460630868899404,0.9462272120830127,0.05905617185139423,0.2643807154860978,0.7124739232021142,0.18307564293739928
132,b-mha-p,smirnoff,aliphatic_ammoniums,0.9608864269393962,-0.7011372814566599,-3.456886552884214,7.329317507431483,0.7358055997782671,3.141539041745432,-4.149476172067807,-1.9382757156099615,0.7984247790611808,0.22353049586759619,1.1275077034051626,2.3722830351038025,0.13847688693958612,0.8552966559700016,1.2508645532812146,0.2463827449208917
133,b-mha-p,bgbg_tip3p,aliphatic_ammoniums,1.1244316513839294,-0.6459774315051021,-2.7545900390986873,6.381323389987301,0.409636681294387,1.3683551385712462,-1.8998028125279234,-1.7345132753580401,0.9960479564611372,0.23726678539533075,1.1479553838282248,2.6017358999811373,0.15641910522257105,0.781513716368851,1.0482199441867837,0.293391049707907
134,b-mch-p,smirnoff,cyclic_alcohols,-3.103284928129142,-0.04220000697732473,-0.07332956911214694,-1.0468547870450493,0.2825896872428757,3.3732393834607137,-3.180809800665884,-2.415919835040768,0.8214514552761477,0.14545149589501444,0.8086843098501989,1.681182322068632,0.37740389079998765,1.4158768523060399,1.5868549836775445,0.32714984121710006
135,b-mch-p,bgbg_tip3p,cyclic_alcohols,2.060989652702119,-0.976877544877297,-4.451916125951186,10.173549871100136,0.6904828416809465,3.5127220970271082,-4.162663107392291,-2.724308378900332,1.4833950444346815,0.37830498033440096,1.8171601627957146,4.078654559609329,0.2451599202163719,1.5771364772530492,1.5096689550992273,0.758393337092128
136,b-mo3-s,smirnoff,aliphatic_carboxylates,-2.5270705740040285,-0.810689630057503,-2.7857145276084765,7.481393653292372,0.43986924926888094,2.5468354098971986,-4.268401453708066,-5.130363275110085,0.39779559363454686,0.07335822905814589,0.3510592671904918,0.9021812631294125,0.178284139454298,0.5417629736295092,0.9224002615003443,0.18693743841106217
137,b-mo3-s,bgbg_tip3p,aliphatic_carboxylates,-0.4672813200559176,-0.9590743866165141,-3.7046441897977047,10.212414014906443,0.7818753123338027,3.4946307638398366,-5.6065040286193835,-4.685978806111507,0.5230690059145888,0.17879904234227906,0.7450756364373461,1.8912867937475921,0.1362313652508179,0.31275861111927333,0.7493935204572342,0.3910804238509626
138,b-mo4-p,smirnoff,aliphatic_carboxylates,-1.2129832960745262,-1.0373737032844588,-5.090524483302133,11.395953527798895,0.9059891680410814,5.660058650558085,-8.06294560329843,-4.984140852578548,0.5202471899163568,0.09478003355839723,0.3932093825327514,0.9292084007373093,0.33981534318863615,1.8233351601623253,2.2062756309038116,0.20275951485099966
139,b-mo4-p,bgbg_tip3p,aliphatic_carboxylates,-1.1707426536813728,-0.8270291922610014,-3.3503580563082096,7.911195316083081,0.42810535634896496,1.8129353442659522,-3.0942729048765614,-4.051318516914762,0.48688333782769677,0.2203628890744844,0.9313863277435704,2.2359212044293297,0.199184248324941,0.7367237067765173,1.372291109565127,0.40655573305427983
