,mean,sem,ci_low,ci_high
MSE,1.4611952348955726,0.2040107626511323,1.049302404834317,1.8505140560018511
MUE,1.7298254293780893,0.1467676514753799,1.4459324040532842,2.0203731267074923
R,0.8303253244095465,0.04817761992237741,0.7221698555857542,0.9095031637302119
R**2,0.6917612274172036,0.07858595713309971,0.521529300316749,0.8271960048352647
RMSE,1.9728004495963762,0.14354095256758606,1.693588983561884,2.2565227305843485
Tau,0.6267276411960133,0.055747609750793264,0.5083056478405316,0.7275747508305648
intercept,1.159864443078428,0.2429876461139562,0.6565489859020922,1.61428903704909
slope,0.8429447890470017,0.08332095963226302,0.6880017076401942,1.016450908886481
