,mean,sem,ci_low,ci_high
MSE,2.3453473729416547,0.27697685446145864,1.7687567404478757,2.8513218339035173
MUE,2.3701832396960874,0.2600511265166259,1.8376044136356455,2.854254002038491
R,0.9652355731722699,0.01975454396013957,0.9161501053301472,0.9909479233041583
R**2,0.9320699537242737,0.037503211050431425,0.8393310154964397,0.9819777867008239
RMSE,2.5387981588913604,0.22113175357564469,2.083723270803656,2.9521799321285824
Tau,0.7856051282051283,0.08501417308453071,0.5897435897435896,0.9230769230769229
intercept,1.2378651680240749,0.4068383507303873,0.48823111117537543,2.085433505152935
slope,0.7450511990727162,0.06858729133588057,0.6156015214712816,0.885951259812173
