,mean,sem,ci
MSE,-1.3881342299135633,0.15401585982378316,[-1.68742502 -1.08506118]
MUE,1.4372329818331968,0.1418129620809207,[ 1.16036378  1.71546676]
R,0.7209747996369479,0.07935279813128125,[ 0.53790826  0.8475439 ]
R**2,0.526101528282801,0.11017195700154778,[ 0.2893453   0.71833065]
RMSE,1.6801296576051665,0.13085837971111547,[ 1.41822063  1.93226764]
Tau,0.5008063157894737,0.08077760997202307,[ 0.3314367   0.64722617]
intercept,-1.3504000076221176,0.33530743476984254,[-2.00805067 -0.68723479]
slope,1.016590082554151,0.1495797677941971,[ 0.70908507  1.30372893]
