,mean,sem,ci
MSE,0.728625516683741,0.351073419787291,[ 0.03620308  1.41274048]
MUE,1.553514936343096,0.22714709521423018,[ 1.12326604  2.01166585]
R,0.623717109132553,0.14392400719783635,[ 0.27762009  0.82798909]
R**2,0.40973715207255185,0.1549081042771665,[ 0.07924888  0.68556593]
RMSE,1.9223204202531756,0.2496541009450457,[ 1.43687725  2.41367516]
Tau,0.2523841230769231,0.14812235668146137,[-0.06461538  0.51384615]
intercept,0.5530014884564036,0.3971736052375445,[-0.21987635  1.33190785]
slope,0.7833274674772662,0.18167592334957644,[ 0.4123765   1.09033253]
