,mean,sem,ci_low,ci_high
MSE,-1.995718986833266,0.1834355806514904,-2.349558604092081,-1.6305258990410532
MUE,2.01487008355837,0.17530256939402222,1.6684400774067027,2.3566204261901307
R,0.8919417603790997,0.03546510376506425,0.8092785202340064,0.9466694144224171
R**2,0.7968178774932341,0.0621006421999539,0.6549317233121431,0.8961829802028822
RMSE,2.1980875146934697,0.158018736124929,1.8826034168359285,2.5029482590403185
Tau,0.6958509538461538,0.06806663422059125,0.5446153846153846,0.8092307692307692
intercept,-1.3999565075509213,0.3385483895012954,-2.111082832714977,-0.7772413955595017
slope,1.330876183609215,0.14244373646428252,1.0426594635131463,1.6066531758697933
