,mean,sem,ci
MSE,-1.790529304973686,0.1301836618869645,[-2.04271442 -1.53326073]
MUE,1.790529304973686,0.1301836618869645,[ 1.53327999  2.04273306]
R,0.9640831617510255,0.021812215084271776,[ 0.91014969  0.99024612]
R**2,0.9299321154987363,0.04079167307687465,[ 0.82837245  0.98058738]
RMSE,1.846709225263541,0.12538168845417794,[ 1.59557531  2.08629217]
Tau,0.7556391427431145,0.10030386068639928,[ 0.52406859  0.9161481 ]
intercept,-0.8004333781480613,0.3196633531901758,[-1.46858461 -0.20772176]
slope,1.3232600523113527,0.09603718399416848,[ 1.12720555  1.50722643]
