,mean,sem,ci
MSE,1.7247434335188807,0.4868505643468843,[0.69409595 2.59453103]
MUE,2.1345242086167917,0.30554119856224654,[1.54301678 2.7383607 ]
R,0.8214993543743958,0.14623389366611095,[0.47575911 0.98238283]
R**2,0.6962455408943004,0.20763107302069037,[0.22810092 0.96507603]
RMSE,2.3441270350745036,0.2937153267554294,[1.76887186 2.91848938]
Tau,0.6042305454545455,0.17557727221430136,[0.2        0.89090909]
intercept,0.6874069894231798,0.7323284625077173,[-1.05254455  1.78740259]
slope,0.6630221861515678,0.13621532819685994,[0.3428712  0.87816009]
