,mean,sem,ci
MSE,-3.482013235945355,0.26236143381596605,[-3.98249899 -2.95522591]
MUE,3.584623677089339,0.228208815165655,[3.13514337 4.03040932]
R,0.7779816672778138,0.06577599125039679,[0.63187467 0.88779381]
R**2,0.6095819556453392,0.09993638650011498,[0.3992656  0.78817784]
RMSE,3.8787660280740424,0.21376744743322765,[3.46009095 4.29651635]
Tau,0.613268438538206,0.07273176402526801,[0.4551495  0.74086379]
intercept,-3.4782054994173905,0.2973384472522346,[-4.03911955 -2.8698615 ]
slope,0.9771602089780189,0.1186796556450922,[0.74723729 1.21695075]
