,mean,sem,ci_low,ci_high
MSE,-0.001793433911217364,0.1277903977874074,-0.2547929524358721,0.24588453873489918
MUE,0.6510649977657337,0.08047967991548126,0.5016009642815719,0.8169509763746189
R,0.6631128596334769,0.08915245230630987,0.46250286327083984,0.8100427413365658
R**2,0.4476668243635162,0.11379042785501589,0.21390889853372516,0.6561692427920585
RMSE,0.8301515279757294,0.10496864926899532,0.6402018090028403,1.0522807609456082
Tau,0.4863806866390243,0.07652832596449553,0.3270511987719451,0.6270197549815809
intercept,-1.1711501722251034,0.3581716672744738,-1.8786573386746646,-0.4676043742828173
slope,0.6094941830619297,0.11157674314168388,0.38740674608618536,0.8283515075218473
