,mean,sem,ci_low,ci_high
MSE,0.8038526679402085,0.28080497690713774,0.24825461254366815,1.3488133999264205
MUE,1.5672115723112758,0.17654125281073418,1.238096897703037,1.9279116891771961
R,0.5864960760591444,0.11002942955643635,0.3456351463992235,0.7746344557649344
R**2,0.3560841226012885,0.12420787928436207,0.11946365442641266,0.6000585400582361
RMSE,1.8952848828454392,0.20872549372285532,1.5039516479278092,2.3199781839100644
Tau,0.4192895590327169,0.09125653753473247,0.22901849217638695,0.5874822190611665
intercept,0.45840426313698585,0.29514770092707926,-0.1363906500624925,1.0201555856047335
slope,0.6255984272168856,0.13866034567284005,0.3489234245922515,0.8950517069229693
