,Delta G,Delta H,G_SEM,H_SEM,System,Type
0,0.15156740000000024,-2.874972767847794,0.22935095264825042,0.3041589455975134,a-bam-p,aliphatic_ammoniums
1,-2.9289359999999993,-3.0518438093786244,0.23480693445062478,0.38529288826840985,a-bam-s,aliphatic_ammoniums
2,-1.3693868,-4.580843775180256,0.234826818330488,0.38632838701247446,a-but-p,aliphatic_carboxylates
3,-3.1016942,-4.931364989311987,0.23194487780582695,0.4404839975791662,a-but-s,aliphatic_carboxylates
4,-2.0610027000000004,-4.469728089978162,0.250018705187032,0.28602247965319394,a-cbu-p,cyclic_alcohols
5,0.5383778000000001,-0.0928435605019331,0.23099333563520832,0.3278655431620225,a-chp-p,cyclic_alcohols
6,-3.6844703,-4.9745909425655555,0.22149039786907243,0.3124024298834029,a-cbu-s,cyclic_alcohols
7,-4.1115664999999995,-5.2690807182843855,0.22888859824871138,0.34562380917044183,a-chp-s,cyclic_alcohols
8,-0.15718560000000092,-3.876384973038512,0.23170566091412184,0.4314306000105221,a-cpe-p,cyclic_alcohols
9,1.1064432000000002,0.6888360293814912,0.2290359195366744,0.3317776839272318,a-coc-p,cyclic_alcohols
10,-3.3505826,-6.179115386617923,0.23555549084447172,0.3245805974200321,a-coc-s,cyclic_alcohols
11,-3.788391399999999,-4.859225667260034,0.22508949424337868,0.2944848457104827,a-cpe-s,cyclic_alcohols
12,-5.623306200000001,-8.903557836692926,0.24306234004660204,0.32330452650665187,a-hep-p,aliphatic_carboxylates
13,-5.4857725,-6.92587530572564,0.22996324560259626,0.3084988619792377,a-ham-s,aliphatic_ammoniums
14,-3.8554946999999986,-6.694810852088267,0.2350341622135812,0.2965964081926,a-ham-p,aliphatic_ammoniums
15,-5.9335797,-8.546918740972615,0.23325313099036848,0.30539802762974844,a-hep-s,aliphatic_carboxylates
16,-4.6910137,-9.10960721642914,0.23915199098535642,0.2960106257423705,a-hp6-p,aliphatic_carboxylates
17,-4.0560333,-8.486743329871388,0.23953081602919069,0.4316430392982122,a-hex-p,aliphatic_carboxylates
18,-5.1720304000000015,-7.252138107676728,0.2349133742982932,0.3347783374102481,a-hex-s,aliphatic_carboxylates
19,-5.1627429000000005,-7.829400536844332,0.2345037008507968,0.36944945184435357,a-hp6-s,aliphatic_carboxylates
20,-4.072333900000001,-7.465045332515729,0.23184471322738848,0.3562799215772555,a-hx2-p,aliphatic_carboxylates
21,-6.0022192,-7.3529979135455505,0.233729661866974,0.2944564394936282,a-hpa-s,aliphatic_ammoniums
22,-4.834810900000002,-7.562712769002246,0.2296516229488701,0.31935383750778523,a-hpa-p,aliphatic_ammoniums
23,-4.5415114999999995,-6.127520216014091,0.2309309309063643,0.3328886038652591,a-hx2-s,aliphatic_carboxylates
24,0.1800947000000006,-1.1453293257000041,0.24247172948822301,0.3309248271320628,a-mba-p,aliphatic_ammoniums
25,-3.9338009000000005,-5.425337430486252,0.23228913348835326,0.3194315778848113,a-hx3-s,aliphatic_carboxylates
26,-2.8809473,-5.977527336908679,0.23949304728423745,0.3397914112602163,a-hx3-p,aliphatic_carboxylates
27,-3.166506899999999,-3.1186204849400383,0.2337888320333758,0.3587492157787686,a-mba-s,aliphatic_ammoniums
28,-5.063141899999999,-8.033161242048664,0.2401723153028467,0.362483505502168,a-mhp-p,aliphatic_ammoniums
29,-4.025113999999999,-6.676303069809364,0.23498805070515819,0.34085498390452684,a-mha-p,aliphatic_ammoniums
30,-5.4956629,-6.3701973410607025,0.236350207937903,0.36723269230274663,a-mha-s,aliphatic_ammoniums
31,-6.1233905,-8.138360200704483,0.23947183262223137,0.3212351995182185,a-mhp-s,aliphatic_ammoniums
32,-4.536518099999999,-8.052693643188832,0.24273848711320997,0.46292432576549036,a-nmh-p,aliphatic_ammoniums
33,-1.0609577000000003,-3.7801048456894932,0.23691322550811722,0.3665950472394902,a-nmb-p,aliphatic_ammoniums
34,-2.6946318999999983,-3.3103275721805403,0.2271137290892825,0.29060716040544154,a-nmb-s,aliphatic_ammoniums
35,-5.4218094,-6.411225200568879,0.23519927732076476,0.3070123847621677,a-nmh-s,aliphatic_ammoniums
36,-5.9444452,-8.98048346379801,0.23538334580146061,0.3859612146615748,a-oct-p,aliphatic_carboxylates
37,-5.884608100000002,-9.187963282005512,0.23203903008438043,0.3439363886093877,a-oam-p,aliphatic_ammoniums
38,-6.8768474,-7.773419944423949,0.22828441647666187,0.30197076894067065,a-oam-s,aliphatic_ammoniums
39,-6.6303285999999995,-9.721960857696104,0.23586860744849025,0.3629542131941675,a-oct-s,aliphatic_carboxylates
40,-3.2368587,-7.287216043092485,0.23490179934110764,0.5097998565764105,a-pnt-p,aliphatic_carboxylates
41,-2.129568400000001,-4.982645795593271,0.23241035208563754,0.32711532453842007,a-pam-p,aliphatic_ammoniums
42,-3.9729689000000006,-4.421901136789529,0.2423812988855782,0.34221309084697643,a-pam-s,aliphatic_ammoniums
43,-3.974416800000001,-5.578072059244732,0.2313729566943596,0.2846694007327476,a-pnt-s,aliphatic_carboxylates
44,-1.8624207999999998,-1.210398065206391,0.2358230626257534,0.30984610059788387,b-ben-s,aliphatic_carboxylates
45,-1.0359851000000004,-1.607028485606861,0.2364293471124725,0.34984736494893953,b-ben-p,aliphatic_carboxylates
46,-2.164051099999999,0.710017261440953,0.2301184900605338,0.3779223279246807,b-cbu-p,cyclic_alcohols
47,-2.467764100000001,0.9619761906615167,0.22652551143835875,0.39058041699571255,b-cbu-s,cyclic_alcohols
