,mean,sem,ci
MSE,-3.3877001515115355,0.22673872269443301,[-3.82561    -2.93587431]
MUE,3.596295454704184,0.1863458003553731,[3.2327625  3.96402021]
R,0.6902156913188522,0.062385705913614004,[0.5565678  0.80029776]
R**2,0.48028967684510093,0.08475126135676464,[0.30976772 0.64047651]
RMSE,3.988216423024014,0.18729326398777985,[3.62678092 4.36248552]
Tau,0.535376437756498,0.06153382878997996,[0.40519836 0.64651163]
intercept,-3.427601782661806,0.24356988742569574,[-3.8981161  -2.94046479]
slope,0.9109032851806912,0.10606574919147085,[0.70187946 1.11903758]
