,mean,sem,ci
MSE,-1.3817438251212097,0.20209172385749222,[-1.77163548 -0.980059  ]
MUE,1.4128496340515362,0.19064048300496925,[1.03869119 1.78212551]
R,0.6827255611180287,0.14100799214601314,[0.3296386  0.87781577]
R**2,0.48599744565297703,0.1719197768632258,[0.1087844  0.77056053]
RMSE,1.6318664795204159,0.16552902084227525,[1.2941399 1.9410122]
Tau,0.45340105263157876,0.13870264431145415,[0.15789474 0.69590643]
intercept,-1.4841300550592533,0.6974951754528999,[-2.83944907 -0.0458221 ]
slope,0.9541732498892845,0.248736958098894,[0.41136739 1.41905978]
