,mean,sem,ci
MSE,0.6799786035215913,0.347844306298224,[ 0.00498757  1.37049774]
MUE,1.38472431425815,0.2347909898986492,[ 0.95961088  1.87634837]
R,0.8349763090859141,0.06869120047582142,[ 0.66986056  0.93436067]
R**2,0.7019039177575455,0.10992613755291392,[ 0.44871317  0.87302987]
RMSE,1.742183604639507,0.3099004967134317,[ 1.20719254  2.42006108]
Tau,0.5436900432900433,0.08973026908676072,[ 0.35064935  0.70562771]
intercept,0.16642188157768717,0.39646645087717336,[-0.6597734   0.89657735]
slope,0.8000490379062276,0.10413286676851476,[ 0.59127788  1.00327754]
