,mean,sem,ci_low,ci_high
MSE,-0.009879435668096521,0.13937113696849865,-0.28369254999245624,0.26479201210915987
MUE,0.7056104991420694,0.0892043927278531,0.5382658181635804,0.8875847552270301
R,0.5716726341981886,0.10485487773949709,0.34021882972922657,0.7504036672520602
R**2,0.3378041460768609,0.11529353961639834,0.11574885210232445,0.5631056638253407
RMSE,0.9080413334384978,0.10760873049913652,0.7050729656966122,1.1295087051837227
Tau,0.40499541453936,0.08665072985748175,0.22702104097452933,0.5657245767937635
intercept,-1.5478697530691294,0.37878100154416217,-2.2877838863935667,-0.8023414977773702
slope,0.4867970972696161,0.11678573523173508,0.2589366685870038,0.717115846437582
