,mean,sem,ci_low,ci_high
MSE,0.4605371402526087,0.11510441844373918,0.23398084348420709,0.6858036231352033
MUE,0.7350977597278047,0.0754251842619975,0.5934113247900142,0.889173613153903
R,0.7285345490828237,0.06879917118307458,0.5738459571360999,0.8431350642547171
R**2,0.5354959151627912,0.09745698227082454,0.3292991825214466,0.7108767365758059
RMSE,0.8815706641369622,0.09217974231570439,0.7150859731555846,1.078894924940019
Tau,0.5243682252565343,0.06873628896294859,0.38068906219512205,0.6514393202747664
intercept,-0.47503781939055423,0.35182275167965416,-1.1599411372942288,0.22054678832776498
slope,0.6876200689552492,0.11086725351604261,0.4708763520630072,0.9058988765886885
