,mean,sem,ci_low,ci_high
MSE,-0.6103826865213398,0.4128323071057657,-1.4721205642094841,0.15150245449702374
MUE,1.1278339814112992,0.3173266632203072,0.5933312496897175,1.823482529661839
R,0.6062617484628687,0.17533880691416176,0.20750928433619434,0.8806100181244914
R**2,0.39829700485933645,0.19469302374297245,0.04374174329688047,0.775474004021217
RMSE,1.5394783458938666,0.4606049251878787,0.7619957436904293,2.5234210287238876
Tau,0.4011265102318032,0.17348935547937433,0.02597621667330655,0.7096921893772
intercept,-0.20533380546027646,1.220355485702117,-2.570125274851649,2.1587035489073942
slope,1.1346114305605808,0.42391734504859363,0.32876255581854086,1.9861419921713426
