,mean,sem,ci
MSE,1.9090234570469475,0.3057879909727594,[ 1.29817633  2.49445241]
MUE,2.2877266958262714,0.22709371648884516,[ 1.84555561  2.73258883]
R,0.7833365893431096,0.06927370299400265,[ 0.62266418  0.89218617]
R**2,0.6184150581301968,0.10459902677805552,[ 0.38771068  0.79599616]
RMSE,2.6795298814785173,0.20576471534887608,[ 2.26914915  3.07650444]
Tau,0.5426218492176388,0.09181121009180898,[ 0.33997155  0.70128023]
intercept,-0.0912761448084233,0.3759115077294956,[-0.81584573  0.65692659]
slope,0.5187960135776895,0.06216355160385503,[ 0.39149673  0.63561391]
