,mean,sem,ci
MSE,1.6589512643956974,0.7189709770302594,[ 0.20689458  3.0328166 ]
MUE,2.4383958248838726,0.4795624180914971,[ 1.50625633  3.38067144]
R,0.03266265001309899,0.29128006584446586,[-0.54567981  0.60342708]
R**2,0.08591092546423457,0.11922054673012779,[  9.01528887e-05   4.39787388e-01]
RMSE,2.8796038721028006,0.433199338098227,[ 1.98483511  3.68524815]
Tau,0.09332399999999999,0.23295346880290446,[-0.34545455  0.56363636]
intercept,-0.28023548799389975,1.8740168529467331,[-4.05596171  3.97436626]
slope,0.07744103107825723,0.7122682106181859,[-1.2708969   1.71948142]
