,mean,sem
MSE,0.025583397611395362,0.1575372986189294
R,0.7100318955948526,0.12812273133863383
R**2,0.5205607270476914,0.16565134463206538
RMSE,0.6813121139542906,0.09985480169116552
intercept,-0.8390594300481087,0.4633972183593087
slope,0.6777444325283505,0.16197962271154598
