,mean,sem,ci
MSE,1.9335006675128283,0.4090875140136405,[1.11755632 2.71938376]
MUE,2.2029380092537236,0.3291018848259905,[1.56396833 2.84979292]
R,0.7855812442314399,0.10485962331859242,[0.52848478 0.92856486]
R**2,0.6281334318907343,0.15036262551779525,[0.27929616 0.8622327 ]
RMSE,2.614249060051824,0.296710192990039,[2.01035629 3.17613012]
Tau,0.5457045614035088,0.14087296563897211,[0.22807018 0.77777778]
intercept,-0.014506211787439799,0.48055678025203824,[-0.95307488  0.95054511]
slope,0.5253517208366075,0.08549356896070112,[0.33808355 0.67294638]
