,mean,sem,ci_low,ci_high
MSE,3.2999741564044216,0.6021904939203794,2.0869380062990897,4.453216892107473
MUE,3.463805560856037,0.5115543651009801,2.487260342032321,4.491211037166451
R,0.5412790836918735,0.21894434814399616,0.05426559714083341,0.8968771032986754
R**2,0.34091967402651363,0.21734047682549393,0.009045748546443475,0.8043885384214229
RMSE,3.8215787041529454,0.5090731653747155,2.813443034713186,4.804989852109696
Tau,0.4462181818181817,0.19570366871986133,0.018181818181818184,0.7818181818181819
intercept,2.1687974459900086,1.7877149875732448,-0.19024656682420227,6.500434235001452
slope,0.6627479751098316,0.41710976075213985,0.04016328422041822,1.6335382203734348
