,mean,sem,ci
MSE,-0.8669033277008265,0.19227928860514337,[-1.24225659 -0.48990564]
MUE,1.5671929075397195,0.13101957221249366,[ 1.31779114  1.83081539]
R,0.7240553100242347,0.050940146807905005,[ 0.61397126  0.8131258 ]
R**2,0.5268509905311016,0.07272875084670712,[ 0.37696071  0.66117356]
RMSE,1.9737168987996858,0.15835918956039213,[ 1.6722313   2.29180636]
Tau,0.5088355950752392,0.05021553711816103,[ 0.40355677  0.60109439]
intercept,-0.7852401589978424,0.18468965978522403,[-1.14613527 -0.42062803]
slope,0.7281541064968554,0.07157825332778958,[ 0.58580704  0.86755357]
