,Delta G,Delta H,G_SEM,H_SEM,System,Type
0,-0.016102700000000247,0.43796618783744634,0.23476476174884084,0.628791182953997,a-bam-p,aliphatic_ammoniums
1,-0.6169924999999994,-1.346365618534037,0.2702631066126119,0.7190676397314725,a-bam-s,aliphatic_ammoniums
2,-0.3350268000000005,-0.07008784439676674,0.3120591115802581,0.6862480720335457,a-but-p,aliphatic_carboxylates
3,-0.8463236000000007,-1.5387077652740118,0.25541130097241194,0.29145893042986204,a-but-s,aliphatic_carboxylates
4,-0.2649001000000011,-0.2841869177900662,0.2658864147866528,0.31258251744244064,a-cbu-p,cyclic_alcohols
5,0.2635359999999993,-1.436511523952504,0.269686459854161,0.3632171658322003,a-chp-p,cyclic_alcohols
6,-0.5799435999999991,-0.9794493343470094,0.3009610722183685,0.7299590520242691,a-cbu-s,cyclic_alcohols
7,-1.665231900000001,-2.367908288444596,0.25402617353078005,0.29134834608224125,a-chp-s,cyclic_alcohols
8,-1.1174503000000007,-0.6787681700625399,0.4661554125738111,0.6024010435030099,a-cpe-p,cyclic_alcohols
9,0.34274619999999967,-0.7968966718945012,0.3079590973721348,0.314687571071198,a-coc-p,cyclic_alcohols
10,-1.8420998000000024,-2.9951061743704486,0.2510348839748572,0.3230534348924134,a-coc-s,cyclic_alcohols
11,-0.9363596000000021,-1.5487828262412222,0.23891926774329023,0.29709944934512317,a-cpe-s,cyclic_alcohols
12,-2.8243131000000004,-3.6343848017495475,0.24561883105273097,0.3024688705506303,a-hep-p,aliphatic_carboxylates
13,-2.177588799999998,-2.1329083577329584,0.2427606251812884,0.4151572308982305,a-ham-s,aliphatic_ammoniums
14,-2.258213999999998,-2.5098618638330663,0.24438249374548088,0.40272956523457376,a-ham-p,aliphatic_ammoniums
15,-3.8064848000000024,-4.134533342607028,0.2372420500608819,0.42053787811694066,a-hep-s,aliphatic_carboxylates
16,-2.868683400000001,-3.972428780525661,0.2382335248942306,0.22965189715856157,a-hp6-p,aliphatic_carboxylates
17,-2.4651664,-2.9243868667945208,0.3273544191966102,0.4532286928745016,a-hex-p,aliphatic_carboxylates
18,-2.4879757000000025,-2.9738515179305978,0.24233600268377375,0.35304941459704814,a-hex-s,aliphatic_carboxylates
19,-2.9889150000000013,-3.5357567202372593,0.24538212548123794,0.30369600801518193,a-hp6-s,aliphatic_carboxylates
20,-1.8456242999999999,-2.8509999274174334,0.25258146957928246,0.26463989856187187,a-hx2-p,aliphatic_carboxylates
21,-3.0724615999999996,-2.1773637037258595,0.24680951042621918,0.4874294609927863,a-hpa-s,aliphatic_ammoniums
22,-3.1280186,-3.088228830754815,0.24158326775923453,0.2335916791678709,a-hpa-p,aliphatic_ammoniums
23,-2.3726022999999996,-2.1290248289988085,0.24454775348438593,0.414081406411835,a-hx2-s,aliphatic_carboxylates
24,0.6530083999999983,-0.05715031982254004,0.2584546051727653,0.40275076878965116,a-mba-p,aliphatic_ammoniums
25,-1.562006499999998,-3.018583978417155,0.2416564070499063,0.36521060511215386,a-hx3-s,aliphatic_carboxylates
26,-0.6223060000000009,-1.8583731059152342,0.26977353778601043,0.2439413822451449,a-hx3-p,aliphatic_carboxylates
27,-0.8369252999999999,-0.3497972174118331,0.2690280037629912,0.40170162710658547,a-mba-s,aliphatic_ammoniums
28,-3.2377345999999987,-3.8713598826034286,0.2476509467703687,0.3049844926643653,a-mhp-p,aliphatic_ammoniums
29,-2.4213401999999986,-2.3648415104580636,0.24490815578510242,0.34839733441622284,a-mha-p,aliphatic_ammoniums
30,-2.4820994999999995,-1.9739586587675149,0.24174468693853438,0.30926217561170033,a-mha-s,aliphatic_ammoniums
31,-3.488541399999998,-3.0957515102782054,0.26223550334518014,0.2678847330956557,a-mhp-s,aliphatic_ammoniums
32,-2.6058267999999982,-2.9476563681309926,0.24216177473108758,0.2583714791227462,a-nmh-p,aliphatic_ammoniums
33,-0.16649729999999874,-0.42249674024787964,0.2554051358455229,0.30023130044601837,a-nmb-p,aliphatic_ammoniums
34,-0.5603354000000005,0.27480569388353615,0.2421360129358291,0.2691142407268712,a-nmb-s,aliphatic_ammoniums
35,-2.3255117000000025,-1.9125373845381546,0.25268647182914244,0.2568192486491642,a-nmh-s,aliphatic_ammoniums
36,-3.025824899999999,-3.8266576042187808,0.2536058476635545,0.3941676252412698,a-oct-p,aliphatic_carboxylates
37,-3.9816332,-4.203041855205811,0.24080804330443367,0.44227326176898785,a-oam-p,aliphatic_ammoniums
38,-3.7844925000000016,-3.078097713103489,0.23993898461152577,0.2934519209439814,a-oam-s,aliphatic_ammoniums
39,-4.8114520999999995,-4.738835354768526,0.2584706791465717,0.30403172612565177,a-oct-s,aliphatic_carboxylates
40,-0.9196491,-1.1559814946594997,0.25259240859412224,0.6107013987277485,a-pnt-p,aliphatic_carboxylates
41,-1.0646948000000007,-0.9923027044314949,0.243415988707521,0.46063920136528275,a-pam-p,aliphatic_ammoniums
42,-1.1131431999999988,-0.7075873380017583,0.2554496562013932,0.3037600630809804,a-pam-s,aliphatic_ammoniums
43,-1.5418880000000028,-1.791168563413521,0.2418621565228219,0.36297557082262966,a-pnt-s,aliphatic_carboxylates
44,-1.5861296999999999,-0.9083019549107121,0.40571343730634557,1.0921245930673404,b-ben-s,aliphatic_carboxylates
45,-1.0254831000000015,-0.41284871008610935,0.355705032667293,0.7121240737687986,b-ben-p,aliphatic_carboxylates
46,-0.28852030000000095,0.13802011478765053,0.3533682417292901,0.9015098719234093,b-cbu-p,cyclic_alcohols
