,mean,sem,ci
MSE,2.166497442383335,0.24517877945783076,[ 1.68482382  2.64656925]
MUE,2.2064935227711695,0.2310158625433891,[ 1.75768815  2.66417489]
R,0.9310321970480642,0.022129700420441743,[ 0.87992748  0.96640353]
R**2,0.8673106755808435,0.04079377592098336,[ 0.77427238  0.93393577]
RMSE,2.4918756992983706,0.2248733296569622,[ 2.04736497  2.93116933]
Tau,0.6967844307692308,0.07090770062562496,[ 0.53230769  0.81538462]
intercept,0.9640135408581968,0.30049632398795506,[ 0.37044787  1.55861053]
slope,0.7298844705909724,0.05744334822107833,[ 0.62139872  0.84674791]
