,mean,sem,ci
MSE,-0.361766635714985,0.1852007075880559,[-0.73438328 -0.00913953]
MUE,0.6818427941836025,0.12959915564595062,[0.44195024 0.95060525]
R,0.5553039723117971,0.17614245637376305,[0.14433674 0.82511746]
R**2,0.339388666602644,0.17580580762280085,[0.0229534  0.68081882]
RMSE,0.873048260040259,0.14743263027560696,[0.58441502 1.16081975]
Tau,0.3960643345639565,0.15363521192354335,[0.07038153 0.67251462]
intercept,-1.8516395193926374,0.48743362990294736,[-2.82901718 -0.9041625 ]
slope,0.45059303757520264,0.1615751386172171,[0.10770171 0.74470555]
