,mean,sem,ci_low,ci_high
MSE,-3.0211483281479374,0.30287159121575974,-3.6006673146890797,-2.413244566424658
MUE,3.1803853314527712,0.2564388772855763,2.6767382147419654,3.6826303655510855
R,0.8006844732998557,0.06347686839088582,0.6553093577089746,0.9023536564378858
R**2,0.6451249386041812,0.09883175672195978,0.4294303543009488,0.814242121286822
RMSE,3.540769883417096,0.24050906023498,3.065786130543919,4.004005821834449
Tau,0.6131084495021338,0.07805804544409083,0.4423897581792319,0.7467994310099575
intercept,-2.6990514104642376,0.3341798470056258,-3.313290303253236,-1.9979366380250863
slope,1.2596153169801592,0.13494149671335462,0.9873014271488878,1.5241742425967386
