,mean,sem,ci
MSE,2.4056560465635313,0.26597577795629185,[1.8767708  2.92476435]
MUE,2.575094887436224,0.22614828581539453,[2.13710067 3.02665789]
R,0.7711739992333908,0.06777656454627212,[0.61827139 0.88297949]
R**2,0.5993029997953168,0.10167326329060136,[0.38225952 0.77965278]
RMSE,2.960783801301354,0.23010919298237123,[2.51553406 3.4179366 ]
Tau,0.5725977630121816,0.08355952590483685,[0.39091916 0.71650055]
intercept,0.8693815834962874,0.39512917661697755,[0.13275026 1.68969784]
slope,0.6247473443587104,0.06791357866098785,[0.48843494 0.75664908]
