,mean,sem,ci
MSE,-1.380539086958635,0.26502074610621545,[-1.90080855 -0.86139141]
MUE,1.7620803420632507,0.20599962881521203,[1.37393537 2.18128384]
R,0.645627012473228,0.10847895988978248,[0.40497985 0.8249935 ]
R**2,0.42860192397387464,0.1342645519480778,[0.16400868 0.68061427]
RMSE,2.2103573519072053,0.23841938190049933,[1.7447069  2.68003865]
Tau,0.31633153931339975,0.10012272526952516,[0.10520487 0.49723145]
intercept,-1.409841344718401,0.23653551442926032,[-1.88682949 -0.95992003]
slope,0.9548934601101255,0.21200973928723435,[0.53542752 1.37594873]
