,mean,sem,ci_low,ci_high
MSE,-0.22951025451816232,0.13180614832075394,-0.4850304054338492,0.02971672693312993
MUE,0.397480939597714,0.08794473092898691,0.23847290602568105,0.5808873722595301
R,0.8897631653408778,0.06523234624455207,0.7298166626516952,0.9714347399104274
R**2,0.7959337493939876,0.10773999043531055,0.5326323610840583,0.9436854539048397
RMSE,0.4828507886142251,0.10007463191829455,0.2979466188136013,0.6875418452785736
Tau,0.6588705454545454,0.13023682573953782,0.38181818181818183,0.8909090909090909
intercept,-0.5801329744131802,0.3707416245286378,-1.2935441445580862,0.18235964369074065
slope,0.8559017118608571,0.13802141296139006,0.5949982598619895,1.139897406518104
