,mean,sem,ci
MSE,-0.6554112372491606,0.3349177347575401,[-1.3244437  -0.01599806]
MUE,1.0738697761215343,0.23949281378388387,[ 0.64456862  1.58000897]
R,0.8554931945072765,0.10068823844650863,[ 0.60567141  0.96936297]
R**2,0.7420067272097258,0.14950043274330682,[ 0.36683786  0.93966458]
RMSE,1.345218921571362,0.29239807465930756,[ 0.80862187  1.94114816]
Tau,0.5848102564102563,0.13796387830144646,[ 0.28205128  0.82051282]
intercept,-0.7972196670729299,0.3212977691550409,[-1.46780276 -0.21863752]
slope,0.7429192786866275,0.14634448196347227,[ 0.53607953  0.99918303]
