,mean,sem,ci
MSE,2.8901114277091,0.5462041383398167,[1.79103496 3.94038447]
MUE,3.388391529866314,0.3961694449040026,[2.62835755 4.1809793 ]
R,0.2475203103230385,0.19228956169776462,[-0.15612228  0.59964015]
R**2,0.09824157956033172,0.10025906065571678,[2.38450903e-04 3.59708892e-01]
RMSE,3.847598694039268,0.39262393762484427,[3.06864842 4.60863968]
Tau,0.24388761904761905,0.14984495706915277,[-0.06493506  0.52380952]
intercept,0.6431652971122995,0.8195265065697739,[-0.59472394  2.56738344]
slope,0.2603321250920018,0.2241181403621662,[-0.12846013  0.7544809 ]
