,mean,sem,ci
MSE,-3.5235244000515964,0.30550455734295995,[-4.08349958 -2.88612243]
MUE,3.612933192031195,0.26262844802109603,[ 3.07976679  4.10996951]
R,0.8940919914904826,0.0560846837419727,[ 0.75502176  0.9688502 ]
R**2,0.8025459809978543,0.09651286894397966,[ 0.57005786  0.93867071]
RMSE,3.8472588585749983,0.22312287705860295,[ 3.39355314  4.26724654]
Tau,0.735936,0.06777574489673789,[ 0.58769231  0.84615385]
intercept,-3.2196759773160717,0.3234887255719331,[-3.78770432 -2.52003764]
slope,1.3085120995658275,0.11959425112089435,[ 1.0918467   1.56912173]
