,mean,sem,ci
MSE,0.6058813193726423,0.2249715019920819,[0.15754503 1.04241159]
MUE,1.275009213710532,0.1463579089990842,[1.00021498 1.57344451]
R,0.7813715598451201,0.0659167780562104,[0.63282496 0.88782408]
R**2,0.6148865361641077,0.10018302660780215,[0.40046744 0.7882316 ]
RMSE,1.585705719034223,0.18017734404328,[1.24765443 1.95167282]
Tau,0.5571694573643411,0.073158509332651,[0.40199336 0.68770764]
intercept,0.16069287178930955,0.27853353410387804,[-0.40867519  0.68622431]
slope,0.7651549263218765,0.0894770339466088,[0.58525539 0.93839419]
