,mean,sem,ci_low,ci_high
MSE,-1.1113418690647208,0.25420758819285927,-1.6044774814089053,-0.605157984854423
MUE,1.6017342834813209,0.17164674775734348,1.2784508264679026,1.9510211937647766
R,0.6754933364998374,0.09771066526889201,0.45484705325761204,0.8346916584091778
R**2,0.4658386217629721,0.12632268641388708,0.20688584185713296,0.6967101646178636
RMSE,1.907977887188422,0.20312462384440103,1.528062183572819,2.323201913444488
Tau,0.4660741963015649,0.09925388827776202,0.25177809388335703,0.6415362731152205
intercept,-1.4411796933651448,0.27656766429457075,-1.9677545917347237,-0.8816181073899254
slope,0.7025308851891825,0.12140840759511312,0.4511507754262718,0.9291555745387197
