,mean,sem,ci
MSE,1.8787561740978342,0.2767097270162277,[ 1.31558852  2.40056008]
MUE,2.062230471305683,0.21012904065466942,[ 1.65194927  2.47243236]
R,0.8808570908468237,0.049414536147599726,[ 0.7615601   0.95261647]
R**2,0.7783510108778122,0.0842987362141397,[ 0.57997379  0.90747814]
RMSE,2.2783151033243465,0.20136966152760638,[ 1.88211205  2.67117106]
Tau,0.6462963636363636,0.08756375123485687,[ 0.44588745  0.79220779]
intercept,-0.1806925326915043,0.28829943349521553,[-0.74760571  0.38869525]
slope,0.47518668341533377,0.061607907927255776,[ 0.35690497  0.59895759]
