,mean,sem,ci_low,ci_high
MSE,-0.28623132969566445,0.15536492374849545,-0.5822675832527074,0.02717359504661537
MUE,0.6152737195162592,0.10376564283497035,0.42428438594341616,0.8318394526743659
R,0.8092469718293267,0.07558047247061989,0.6324095323264504,0.9243234798676041
R**2,0.6605930692338171,0.11773813986536087,0.39994181657735967,0.8543738954345571
RMSE,0.7743151729453545,0.12450207469791227,0.5403269600441354,1.0268165449703108
Tau,0.6169873593073594,0.08890523524973974,0.4285714285714286,0.774891774891775
intercept,-0.5867517827872949,0.3010921228984545,-1.155508513450282,0.03130516074049794
slope,0.8299891809073271,0.12272232208679654,0.5990242879692671,1.0818686073767214
