,mean,sem,ci
MSE,1.6892239946804815,0.25910759589702753,[ 1.16198969  2.17526494]
MUE,1.753950727040371,0.22363577542274932,[ 1.3152476   2.18902706]
R,0.7044846941821731,0.15981138242164245,[ 0.31082956  0.92237359]
R**2,0.5218383622884665,0.19774444489014453,[ 0.09724754  0.85077305]
RMSE,1.9201555324273885,0.20794114726068985,[ 1.50742746  2.32177843]
Tau,0.48716153846153837,0.1712366351388487,[ 0.1025641   0.76923077]
intercept,-0.6258840555816877,0.9372094115658,[-2.50776422  1.17213439]
slope,0.5234024744273497,0.1752014592028298,[ 0.16986867  0.86090757]
