,mean,sem,ci
MSE,2.021229036562597,0.17999453256479972,[ 1.66900724  2.37492719]
MUE,2.0223017649738053,0.17905430254720892,[ 1.67329037  2.37504208]
R,0.9580309503147979,0.02631556259134129,[ 0.89275456  0.9897923 ]
R**2,0.9185158105955737,0.0489209940480847,[ 0.79701071  0.9796888 ]
RMSE,2.115616329830128,0.1784805064513181,[ 1.77101868  2.46935422]
Tau,0.7492576923076922,0.09625788182931788,[ 0.53846154  0.8974359 ]
intercept,2.2857764464276342,0.487731147278848,[ 1.39250887  3.33804709]
slope,1.0858679836320517,0.12124047529496962,[ 0.86294013  1.34752803]
