,mean,sem,ci_low,ci_high
MSE,-3.535738764023945,0.30834238177166834,-4.116365505192162,-2.910076471216284
MUE,3.536395274050111,0.30775293942060933,2.912560372456184,4.1166991420288195
R,0.9601551417556861,0.025024329079653407,0.8972470548620162,0.9904311667044785
R**2,0.922524113285768,0.046911307941946236,0.8050522774585619,0.9809538959795945
RMSE,3.695316425530361,0.27609260338380354,3.1285776052637875,4.209804987985587
Tau,0.7572141025641024,0.08909124509363413,0.564102564102564,0.8974358974358972
intercept,-3.210946550099935,0.30933694894493535,-3.7698567367213074,-2.553575192653843
slope,1.3458892980629873,0.12775624943441166,1.1257268384873504,1.6308367996989706
