,mean,sem,ci
MSE,1.5879401254659498,0.29601449214475456,[ 0.98055733  2.13840157]
MUE,1.8120985549356194,0.21699193873919137,[ 1.3831005   2.23511436]
R,0.7830510097990658,0.09606907108130316,[ 0.55709132  0.92607209]
R**2,0.6223981503657612,0.14251336185801597,[ 0.31035074  0.85760951]
RMSE,2.032670307892154,0.19991007077677567,[ 1.63647545  2.41914619]
Tau,0.5285502923976609,0.10916905427519395,[ 0.29824561  0.71929825]
intercept,1.3522356646956826,0.40075963041651236,[ 0.50171176  2.07987676]
slope,0.8492358062099289,0.14645737380757196,[ 0.56368801  1.14469053]
